выполн;35;0.117022484575;5.94120291182e-05;0.13599793098;
означа;5;0.0184686856198;5.9248253326e-05;0.0340030801167;
steplg;1;0.00447404870558;5.92417889197e-05;0.00669246869934;
смеша;3;0.00907656003039;5.92425476511e-05;0.0113704986029;
dynamic;4;0.0365070790509;5.92430182096e-05;0.0253949346225;
опт;1;0.00477487255194;5.92419388306e-05;0.00921622088725;
список;29;0.113900689831;5.93608462222e-05;0.15109233656;
функционирован;9;0.0312259797894;5.92501976659e-05;0.0329534064926;
завис;19;0.0668429458424;5.93021987118e-05;0.0976125252615;
зарезервирова;1;0.00234499347078;5.92418609999e-05;0.00456085661369;
arinc;4;0.0225267918328;5.92443780507e-05;0.0348473030182;
руководству;1;0.00466541039838;5.92420102029e-05;0.00693719150845;
исключа;3;0.00928330209448;5.92433512114e-05;0.0159011298005;
потребова;3;0.00930345544091;5.92431682489e-05;0.018135868206;
составля;16;0.0602797034825;5.92870106901e-05;0.0931531334019;
пол;2;0.00932650678877;5.92426888187e-05;0.0159985471159;
изложен;1;0.00238963880041;5.92419985725e-05;0.00464700012653;
включен;1;0.00236130947438;5.92418230972e-05;0.00457342131345;
наук;11;0.0587034286039;5.9257477295e-05;0.0665808476054;
подтверд;1;0.00242164196959;5.92418347883e-05;0.00466607877588;
поступа;2;0.00936866984096;5.92425219822e-05;0.0159323945531;
заголовк;1;0.00241157832779;5.92418459275e-05;0.00461905535131;
stud;1;0.016660735125;5.92417588219e-05;0.0184440005906;
оптимизац;21;0.079670700248;5.92991426631e-05;0.0918188020194;
парн;2;0.00477070810161;5.9242164062e-05;0.00921094522298;
оконечн;22;0.069173330777;5.92740522648e-05;0.0544426540876;
математическ;16;0.0552045019029;5.92712331694e-05;0.075061544705;
вершин;116;0.403796957805;6.03102593408e-05;0.343953816987;
докаж;5;0.0184739288664;5.92485899785e-05;0.0340180286622;
смен;1;0.00258071948794;5.92418069298e-05;0.00475206582062;
уменьша;6;0.0185686634529;5.92479516069e-05;0.031822878745;
системн;14;0.0433490948547;5.92629648288e-05;0.0517047852391;
случа;50;0.178136723665;5.95772864081e-05;0.213424486154;
стохастическ;3;0.0071240208674;5.92424813606e-05;0.0137723832429;
команд;13;0.0441863830745;5.92610173362e-05;0.0524684791538;
кусочн;1;0.00465795834974;5.92419629172e-05;0.00911657844684;
справ;1;0.00237270192422;5.92418178369e-05;0.00459111511061;
ait;1;0.00939415693041;5.92418811862e-05;0.0137725722177;
перестанет;2;0.00930980962841;5.9242498842e-05;0.00915670070624;
говор;10;0.0325327115387;5.92549104807e-05;0.0389252691267;
непересека;4;0.0115836738401;5.92437221923e-05;0.0161063535919;
резерв;14;0.0508607331234;5.92674008728e-05;0.0725411708869;
целочислен;11;0.0324516002547;5.92529274163e-05;0.027259775262;
результат;66;0.219947226783;5.96998115e-05;0.237435044469;
устро;1;0.00240598152568;5.92418111555e-05;0.00465375121962;
second;1;0.0292371866894;5.92418641438e-05;0.0333966647586;
структур;14;0.0496411357981;5.92686060958e-05;0.0671123748592;
отвеча;8;0.032372082507;5.92516667819e-05;0.0431613501191;
следу;1;0.00467462471595;5.92421378886e-05;0.00913202335512;
обозрен;1;0.00333382942543;5.92418559451e-05;0.00589887901798;
ивченк;1;0.00538561592178;5.92419610391e-05;0.0101088296565;
двум;9;0.0301263822404;5.92515929222e-05;0.0476930925459;
ориентирова;8;0.0277944366793;5.92524642508e-05;0.0341981001651;
blum;1;0.0240023687238;5.92418566213e-05;0.0282396975974;
specification;1;0.0113346866814;5.92418843937e-05;0.015936787669;
модификац;6;0.0257945786383;5.92495620598e-05;0.0412277721496;
максимальн;52;0.184074532916;5.95118269802e-05;0.16542565579;
высот;8;0.0253143676665;5.92499629427e-05;0.0294663625231;
полага;6;0.0184048771037;5.92480871797e-05;0.0294985290139;
средств;35;0.128686881582;5.93321477436e-05;0.0936031136612;
средн;28;0.0971836929182;5.93345641746e-05;0.11550301631;
new;2;0.027375439759;5.92425630971e-05;0.0369369051879;
предлага;8;0.0303534801836;5.92539487492e-05;0.0478857550645;
атрибут;20;0.0732056706744;5.92941851838e-05;0.085889344077;
dep;2;0.00689630956771;5.92424943225e-05;0.0136586307964;
высок;9;0.0280440498205;5.92542166484e-05;0.0412453024225;
указа;21;0.0793352998757;5.93114384155e-05;0.0952949556243;
используем;14;0.0463905741833;5.9272688694e-05;0.0725970491803;
необходим;40;0.142088111311;5.94835846748e-05;0.194206236372;
нар;1;0.00235953084012;5.9241784036e-05;0.00457024112299;
постоя;1;0.00465467796553;5.92419628379e-05;0.00910714064767;
path;1;0.0279217002054;5.92418761158e-05;0.0332963578544;
двух;31;0.105922957969;5.93658604053e-05;0.142821947062;
узна;1;0.00236118354319;5.92418208406e-05;0.00457367997582;
заканчива;2;0.00683427575687;5.9242744355e-05;0.0113436956388;
решен;136;0.466166571345;6.08700684818e-05;0.42676812436;
слож;1;0.00239344137073;5.92417699945e-05;0.00458338583781;
слов;28;0.0930062225614;5.93064881076e-05;0.0897273256831;
некотор;48;0.153723270878;5.9518921441e-05;0.191817268394;
добавл;5;0.0160854852316;5.92456945564e-05;0.0158852515538;
превосходя;3;0.00937924352928;5.92428991357e-05;0.0137931856494;
разметок;26;0.0933648783579;5.93107955992e-05;0.0754597051424;
размещен;85;0.290303538772;5.9854011367e-05;0.233367357586;
постановок;1;0.00474493079639;5.92419809894e-05;0.00919154341597;
tr;5;0.0255229522478;5.92451525378e-05;0.0330766577034;
nonogr;1;0.00906674179575;5.92418606382e-05;0.0142079005741;
