выполн;2;162997.322962;
;3;33918.5882477;
смеша;3;11306.7320031;
позж;1;4801.41456498;
выпол;3;11265.735662;
коп;2;12190.4480747;
опт;1;3555.22259442;
список;1;890.418277669;
обязательн;1;4425.13660103;
присутств;1;103588.770967;
ко;3;122206.1922;
гарантирова;2;5353.39302443;
ци;1;5796.94024406;
завис;3;88577.1179749;
констант;1;3602.79192541;
модел;3;40883.449805;
постав;1;4206.04037766;
нагрузк;1;2297.66135191;
характеристик;3;11605.8293068;
стройк;1;2999.19036352;
ts;2;153332.401418;
располож;1;8113.27386957;
составля;1;2277.32296721;
to;1;165.667556505;
th;1;194.710160979;
вышен;1;5175.86017926;
vers;3;57166.5825984;
последовательн;3;27915.2930471;
удален;8;54711.80769;
модул;1;3720.23425001;
резервирован;3;3983.87611396;
математическ;1;1522.78654269;
hardwar;1;206.026284207;
распис;1;858.789226887;
зада;19;205983.628846;
вершин;6;33724.097616;
должн;8;61147.8725216;
randell;1;9608.05317847;
уменьша;1;3402.26833824;
сформулирова;3;5330.87673405;
мног;1;1461.59746994;
вычислительн;11;69984.357882;
пространств;1;1704.46814827;
p;13;127599.659833;
друг;8;54383.462785;
dir;2;504699.025082;
извест;3;10030.9760254;
выполнен;36;450713.063709;
повыша;1;5396.2884789;
половин;1;4319.14921388;
результат;6;40330.2927808;
устро;1;7165.62148012;
состоя;1;136824.515378;
представ;2;14015.5422173;
ивченк;1;1045.72846427;
свободн;2;15090.4721197;
n;41;1389040.44683;
удовлетворя;2;9614.67940207;
эл;1;10348.6451535;
получен;1;1215.51821018;
успешн;1;25891.053904;
калашник;2;1515.24022844;
ориентирова;1;6856.81515555;
след;20;89802.3191853;
нижн;7;41118.5718761;
происход;2;14474.5058845;
г;8;35113.0684846;
цикл;1;17014.8636448;
средств;1;788.486431726;
new;1;3895.7018477;
предлага;2;9733.39737905;
задержк;8;60503.8591454;
прикладн;1;8650.19424263;
позиц;16;144509.622215;
требу;1;1544.31993717;
v;50;1447573.77401;
потенциал;1;5412.94959769;
архитектур;3;7305.83619625;
редач;1;4074.48788156;
используем;2;8210.7066699;
необходим;8;283803.123889;
нар;1;831.971762716;
процедур;1;4718.42160013;
замет;1;1005.99772758;
параметр;16;490114.026115;
так;11;217715.490073;
длин;4;80832.2535451;
го;1;1059.59767124;
эт;16;99558.3668096;
решен;10;16661.0156327;
примен;1;899.768531617;
k;13;483408.567129;
